adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/rbdWA3lsY4J7o0LQb1YRiqyS322.jpg,"[10767, 10764, 35]",53699,['TR'],tr,İki Kere Kiki,,1.0465,/1nqXOoDMUj7Gxk0dt4TM4aiauqc.jpg,2001-09-08,İki Kere Kiki,0.0,0
False,/dM9EO53srww3MO49IvUTXgDH5oS.jpg,[35],18327,['IN'],hi,Office Office,,1.0048,/6x0DxovyJSY4Qe3hHGUabjAJCEG.jpg,2001-09-03,Office Office,8.2,4
False,,[18],258656,['CA'],fr,L'Or,,0.9911000000000001,/cyXy0cfqvuPy53UmjwuFBzt54R9.jpg,2001-09-17,L'Or,0.0,0
False,,[10764],671,['US'],en,Moolah Beach,,0.98,,2001-09-08,Moolah Beach,8.4,4
False,,"[18, 35]",9709,"['NZ', 'GB']",en,Atlantis High,,0.9769000000000001,/a32zbB3bFut6AnD4ohbZZzXCGdd.jpg,2001-09-08,Atlantis High,5.3,3
False,/hzg9Wyp3i9wT53yYz1xlvO4ujz8.jpg,[18],297151,['GR'],el,Όσο υπάρχει αγάπη,,0.9532,/te9rORIZoG7oHnFBJN04tMMqBWO.jpg,2001-09-29,Όσο υπάρχει αγάπη,4.5,2
False,/tGNmpUriOJuVrMHJRO0Tx5QBoPX.jpg,[35],93387,['IN'],hi,Hasna Mat,,0.9224,/hIwdvZu8nbGOiFYPfRgWVX4HyL5.jpg,2001-09-11,Hasna Mat,4.5,4
False,,[10751],299863,['CN'],zh,老爸向前冲,,0.9222,/jylmB2d7iz2PESboWQiHQchA1BG.jpg,2001-09-02,老爸向前冲,0.0,0
False,,[10764],120926,['FR'],fr,Chanter la vie,,0.9113,,2001-09-16,Chanter la vie,0.0,0
False,/wGW7VamAmYEPKvAUOX3tWSqpk3s.jpg,[99],5684,['IN'],ml,സഞ്ചാരം,,0.9053,/n1KB8ZJtBXJipqz7QUiy0zdL75c.jpg,2001-09-02,സഞ്ചാരം,9.5,2
False,/jV8TRbUitEEpIibPNM7kX46Zdmm.jpg,[99],24745,['US'],en,art21,,0.898,/fMVfKcLmaJMjM92cj1Yx1eKeOoo.jpg,2001-09-21,art21,2.0,1
False,,"[10764, 10767]",51727,['GR'],el,Τα παρατράγουδα,,0.8974000000000001,,2001-09-01,Τα παρατράγουδα,3.5,2
False,,[10765],284848,['CN'],zh,范特西,,0.8504,/qEDx74NK5CmLtP27tizBWtHuZxU.jpg,2001-09-14,范特西,0.0,0
False,/Af7pXEpLHEZrua5qoJrYr1b6gmk.jpg,[10764],1575,"['GB', 'US']",en,Lost,,0.8285,/58IGb9sLVc2LPFACaTZxX11Raoi.jpg,2001-09-04,Lost,0.0,0
False,/8Irb7oARME72nkgP9NQg4MDOUL.jpg,"[80, 18, 9648]",50494,['TR'],tr,Karanlıkta Koşanlar,,0.8137000000000001,/aJlY3JieO0Sp9WYqDAXto7zx0UT.jpg,2001-09-08,Karanlıkta Koşanlar,6.8,4
False,,[18],16231,['IN'],hi,Sarhadein,,0.8125,,2001-09-26,Sarhadein,0.0,0
False,,[18],53016,['PL'],pl,Przeprowadzki,,0.7965,,2001-09-02,Przeprowadzki,0.0,0
False,,[18],235265,['RU'],ru,Фаталисты,,0.7767000000000001,,2001-09-01,Фаталисты,0.0,0
False,,[],129660,[],ko,여고시절,,0.7544000000000001,,2001-09-02,여고시절,0.0,0
False,,[],24846,['NL'],en,zo: RAYMANN,,0.7376,,2001-09-20,zo: RAYMANN,0.0,0
False,/syBCNIdUlMjITcBbVqRqodzrUYH.jpg,[35],72847,['DK'],da,Banjos Likørstue,,0.7167,/70ACDuxeVQJy2aWSuGxwThHLxXt.jpg,2001-09-06,Banjos Likørstue,0.0,0
False,,[],235025,['US'],en,School: The Story of American Public Education,,0.7038,/5hwOIS0xWj5Uy9MqlxlBXVIDaee.jpg,2001-09-03,School: The Story of American Public Education,0.0,0
